,name,gender,country_code,discipline,function,url,Age
201,KERRY Danny,Male,GBR,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1444647-kerry-danny.htm,53
202,KIM Chanbin,Male,KOR,Football,Head Coach,../../../en/results/football/athlete-profile-n1341066-kim-chanbin.htm,39
203,KIM Hagbum,Male,KOR,Football,Head Coach,../../../en/results/football/athlete-profile-n9171064-kim-hagbum.htm,64
204,KIM Jae Hyun,Male,KOR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1333159-kim-jae-hyun.htm,48
205,KIM Jongkook,Male,KOR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1333160-kim-jongkook.htm,50
206,KIRALY Karch,Male,USA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1298673-kiraly-karch.htm,63
207,KIRKELY Ulrik,Male,JPN,Handball,Coach,../../../en/results/handball/athlete-profile-n1315306-kirkely-ulrik.htm,52
208,KIRKPATRICK Andrew,Male,AUS,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1484457-kirkpatrick-andrew.htm,40
209,KITABAYASHI Kenji,Male,JPN,Handball,Coach,../../../en/results/handball/athlete-profile-n1315300-kitabayashi-kenji.htm,56
210,KLARENBEEK Auke,Male,NED,Handball,Coach,../../../en/results/handball/athlete-profile-n1458573-klarenbeek-auke.htm,47
211,KNEZEVIC Nemanja,Male,KAZ,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1303735-knezevic-nemanja.htm,40
212,KOFFI Anthony,Male,CIV,Football,Head Coach,../../../en/results/football/athlete-profile-n1323742-koffi-anthony.htm,70
213,KONSTANTINOV Aleksei,Male,ROC,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1435987-konstantinov-aleksei.htm,40
214,KRIKORIAN Adam,Male,USA,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1320578-krikorian-adam.htm,49
215,KRIST JANSSON Aron,Male,BRN,Handball,Coach,../../../en/results/handball/athlete-profile-n1301237-krist-jansson-aron.htm,51
216,KRUMBHOLZ Olivier,Male,FRA,Handball,Coach,../../../en/results/handball/athlete-profile-n1439966-krumbholz-olivier.htm,65
217,KULESZA Kasia,Female,CAN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1450732-kulesza-kasia.htm,47
218,KUNTZ Stefan,Male,GER,Football,Head Coach,../../../en/results/football/athlete-profile-n1325356-kuntz-stefan.htm,61
219,KUZIN Andrey,Male,ROC,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1408386-kuzin-andrey.htm,45
220,KWIEK Marcos,Male,DOM,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1295679-kwiek-marcos.htm,56
221,LAIDLAW Clark,Male,NZL,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1473923-laidlaw-clark.htm,46
222,LAMAS Julio,Male,JPN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1313651-lamas-julio.htm,59
223,LANG Ping,Female,CHN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1342738-lang-ping.htm,63
224,LAVARINI Stefano,Male,KOR,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1320648-lavarini-stefano.htm,45
225,LAZARO CORRAL Jesus,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1322506-lazaro-corral-jesus.htm,52
226,LEE Jong Yeol,Male,KOR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1333162-lee-jong-yeol.htm,51
227,LETELIER Jose,Male,CHI,Football,Head Coach,../../../en/results/football/athlete-profile-n1335536-letelier-jose.htm,58
228,LOCK Adrian Mayner,Male,ESP,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1355307-lock-adrian-mayner.htm,48
229,LOFTUS Adriana,Female,MEX,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1301560-loftus-adriana.htm,65
230,LOPES BARBOSA Leonard,Male,KEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1459291-lopes-barbosa-leonard.htm,41
231,LOPEZ GUILLEN Melvyn,Male,DOM,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1468694-lopez-guillen-melvyn.htm,49
232,LOPEZ Monica Susana,Female,ARG,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1332306-lopez-monica-susana.htm,64
233,LORRAINE Andrew,Male,ISR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1282219-lorraine-andrew.htm,51
234,LOUCKS Luke,Male,NGR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1400532-loucks-luke.htm,34
235,LOZANO Jaime,Male,MEX,Football,Head Coach,../../../en/results/football/athlete-profile-n1353553-lozano-jaime.htm,45
236,MACEK Anze,Male,SLO,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1437110-macek-anze.htm,32
237,MACKINTOSH Euan,Male,CHN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1307120-mackintosh-euan.htm,38
238,MAEDA Kenzo,Male,JPN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1313654-maeda-kenzo.htm,41
239,MAHLANGU Sibusiso,Male,RSA,Football,Head Coach,../../../en/results/football/athlete-profile-n1325041-mahlangu-sibusiso.htm,40
240,MAKIRI Hare,Male,JPN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1315532-makiri-hare.htm,46
241,MALJKOVIC Marina,Female,SRB,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1344396-maljkovic-marina.htm,42
242,MANENTI John,Male,AUS,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1473099-manenti-john.htm,53
243,MANZANILLO Andres,Male,VEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1308821-manzanillo-andres.htm,46
244,MARCZ Tamas,Male,HUN,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1364592-marcz-tamas.htm,49
245,MARIJNE Sjoerd,Male,IND,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1309670-marijne-sjoerd.htm,50
246,MARINELLI Fernando,Male,CHI,Football,Head Coach,../../../en/results/football/athlete-profile-n1335544-marinelli-fernando.htm,44
247,MARTIN LOZANO David,Male,ESP,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1328036-martin-lozano-david.htm,47
248,MARTIN Paul,Male,RSA,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1399919-martin-paul.htm,41
249,MASHA Mario,Male,RSA,Football,Head Coach,../../../en/results/football/athlete-profile-n1610833-masha-mario.htm,41
250,MATSUNO Yoshiyuki,Male,JPN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1313680-matsuno-yoshiyuki.htm,38
251,MATSUODANI Yasushi,Male,JPN,Football,Head Coach,../../../en/results/football/athlete-profile-n1329578-matsuodani-yasushi.htm,46
252,MAYBURY Elena,Female,USA,Football,Head Coach,../../../en/results/football/athlete-profile-n1444400-maybury-elena.htm,38
253,MAYONNADE Emmanuel,Male,NED,Handball,Coach,../../../en/results/handball/athlete-profile-n1457064-mayonnade-emmanuel.htm,40
254,MAZZANTI Davide,Male,ITA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1337663-mazzanti-davide.htm,47
255,McCRORIE Christy,Female,RSA,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1542943-mccrorie-christy.htm,39
256,McLEOD Shane,Male,BEL,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1402028-mcleod-shane.htm,55
257,MEDINA Bobby,Male,NGR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1401820-medina-bobby.htm,60
258,MENDEZ Marcelo Rodolfo,Male,ARG,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1366973-mendez-marcelo-rodolfo.htm,59
259,MENTOOR Delaine,Female,RSA,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1399767-mentoor-delaine.htm,31
260,MERCEDES del ROSARIO Jose,Male,DOM,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1468726-mercedes-del-rosario-jose.htm,60
261,MESTDAGH Philip,Male,BEL,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1393340-mestdagh-philip.htm,61
262,MEZHENINA Valeriia,Female,UKR,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1449844-mezhenina-valeriia.htm,59
263,MEZIANE Rachid,Male,FRA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1337976-meziane-rachid.htm,44
264,MIHAILOVIC Predrag,Male,AUS,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1483341-mihailovic-predrag.htm,50
265,MIREJOVSKY Michal,Male,CZE,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1432598-mirejovsky-michal.htm,42
266,MIRET GARCIA Daniel,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1400379-miret-garcia-daniel.htm,38
267,MIURA Keiko,Female,JPN,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1318205-miura-keiko.htm,49
268,MIYAKAWA Miya,Female,JPN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1315873-miyakawa-miya.htm,49
269,MIYAKAWA Miya,Female,JPN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1315873-miyakawa-miya.htm,49
270,MLADENOVA Albena,Female,AUT,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1323387-mladenova-albena.htm,59
271,MOHAMED Sayeda,Female,KSA,Football,Head Coach,../../../en/results/football/athlete-profile-n1484278-mohamed-sayeda.htm,53
272,MOHAMMED Silifat,Female,NGR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1479236-mohammed-silifat.htm,53
273,MONDELO Lucas,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1322507-mondelo-lucas.htm,56
274,MONTICO Loredana,Female,AUS,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1483950-montico-loredana.htm,58
275,MONTICO Loredana,Female,AUS,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1483950-montico-loredana.htm,58
276,MORIYASU Hajime,Male,JPN,Football,Head Coach,../../../en/results/football/athlete-profile-n1329561-moriyasu-hajime.htm,55
277,MOTOMIYA Makihiro,Male,JPN,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1316554-motomiya-makihiro.htm,55
278,MULATI Adilijiang,Male,CHN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1324783-mulati-adilijiang.htm,38
279,MULBERG Nate,Male,ISR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1282237-mulberg-nate.htm,32
280,MUNOZ Noe,Male,MEX,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1825806-munoz-noe.htm,53
281,MURATA Yoshinori,Male,JPN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1336506-murata-yoshinori.htm,50
282,MWAPE Bruce,Male,ZAM,Football,Head Coach,../../../en/results/football/athlete-profile-n1477392-mwape-bruce.htm,64
283,NAGAE Shoji,Male,JPN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1484652-nagae-shoji.htm,36
284,NAIDOO Taren,Female,RSA,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1318765-naidoo-taren.htm,36
285,NAKADA Kumi,Female,JPN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1316363-nakada-kumi.htm,58
286,NAKAGAICHI Yuichi,Male,JPN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1316304-nakagaichi-yuichi.htm,56
287,NCUBE Mthandazo,Male,RSA,Football,Head Coach,../../../en/results/football/athlete-profile-n1610836-ncube-mthandazo.htm,43
288,NEVES Christophe,Male,CIV,Football,Head Coach,../../../en/results/football/athlete-profile-n1385704-neves-christophe.htm,46
289,NISHIDA Takumi,Male,JPN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1315538-nishida-takumi.htm,32
290,NOTOANE David,Male,RSA,Football,Head Coach,../../../en/results/football/athlete-profile-n1325049-notoane-david.htm,55
291,OCA GAIA Miguel Angel,Male,ESP,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1328039-oca-gaia-miguel-angel.htm,54
292,ODAUDU Ogoh,Male,NGR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1479230-odaudu-ogoh.htm,42
293,OLOO Felix,Male,KEN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1327167-oloo-felix.htm,39
294,OMOTO Yoji,Male,JPN,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1316505-omoto-yoji.htm,56
295,PAGAN CRISTOBAL Angel,Male,PUR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1298218-pagan-cristobal-angel.htm,59
296,PALERMI Giovanna,Female,ITA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1325707-palermi-giovanna.htm,60
297,PANTOJA Hernan,Male,VEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1308812-pantoja-hernan.htm,69
298,PARADELO David,Male,CAN,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1433333-paradelo-david.htm,38
299,PARRONDO Roberto,Male,EGY,Handball,Coach,../../../en/results/handball/athlete-profile-n1303861-parrondo-roberto.htm,44
300,PAUL Henry,Male,CAN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1450999-paul-henry.htm,50
301,PEDRERO Ofelia,Female,MEX,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1301565-pedrero-ofelia.htm,36
302,PEREIRA Paulo Jorge,Male,POR,Handball,Coach,../../../en/results/handball/athlete-profile-n1451585-pereira-paulo-jorge.htm,59
303,PEREZ Jose,Male,VEN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1418926-perez-jose.htm,42
304,PIBIRI Rossella,Female,ITA,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1310730-pibiri-rossella.htm,42
305,PISKAREVA Ekaterina,Female,ROC,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1431714-piskareva-ekaterina.htm,53
306,PIZZOLINI Federico,Male,ITA,Baseball/Softball,Head Coach,../../../en/results/baseball-softball/athlete-profile-n1325706-pizzolini-federico.htm,60
307,POPOVIC Bojana,Female,MNE,Handball,Coach,../../../en/results/handball/athlete-profile-n1330960-popovic-bojana.htm,44
308,POPOVICH Gregg,Male,USA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1312715-popovich-gregg.htm,75
309,POROBIC Petar,Male,CHN,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1376868-porobic-petar.htm,67
310,POTTER Anthony,Male,AUS,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1483118-potter-anthony.htm,52
311,POWELL Katrina,Female,AUS,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1483179-powell-katrina.htm,52
312,POWELL Neil,Male,RSA,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1284765-powell-neil.htm,45
313,PRADO BRANAS Joaquin,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1322509-prado-branas-joaquin.htm,48
314,PRIESTMAN Bev,Female,CAN,Football,Head Coach,../../../en/results/football/athlete-profile-n1469450-priestman-bev.htm,38
315,RADOI Mirel,Male,ROU,Football,Head Coach,../../../en/results/football/athlete-profile-n1313039-radoi-mirel.htm,43
316,RECKINGER Xavier,Male,GER,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1319558-reckinger-xavier.htm,40
317,REID Graham John,Male,IND,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1309599-reid-graham-john.htm,60
318,REQUENA PERICAS Judit,Female,ESP,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1328041-requena-pericas-judit.htm,31
319,RETEGUI Carlos Jose,Male,ARG,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1361834-retegui-carlos-jose.htm,54
320,RETEGUI Carlos Jose,Male,ARG,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1361834-retegui-carlos-jose.htm,54
321,RIBERA ROMANS Jordi,Male,ESP,Handball,Coach,../../../en/results/handball/athlete-profile-n1313332-ribera-romans-jordi.htm,61
322,RIISE Hege,Female,GBR,Football,Head Coach,../../../en/results/football/athlete-profile-n1464724-riise-hege.htm,54
323,RILLIE John,Male,AUS,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1895587-rillie-john.htm,52
324,RIPOLL Sylvain,Male,FRA,Football,Head Coach,../../../en/results/football/athlete-profile-n1406207-ripoll-sylvain.htm,52
325,RODRIGUEZ Eduardo Rafael,Male,ARG,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1365441-rodriguez-eduardo-rafael.htm,50
326,ROEDL Henrik,Male,GER,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1327353-roedl-henrik.htm,55
327,ROQUES Tony,Male,GBR,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1468862-roques-tony.htm,45
328,SACCHETTI Meo,Male,ITA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1348383-sacchetti-meo.htm,70
329,SALAM Mohamed,Male,EGY,Football,Head Coach,../../../en/results/football/athlete-profile-n1378825-salam-mohamed.htm,42
330,SAMMELVUO Tuomas,Male,ROC,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1435978-sammelvuo-tuomas.htm,48
331,SARTI Ronald,Male,VEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1307555-sarti-ronald.htm,52
332,SAVIC Dejan,Male,SRB,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1344212-savic-dejan.htm,49
333,SCARIOLO Sergio,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1322508-scariolo-sergio.htm,63
334,SCHILLING April,Female,NGR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1405790-schilling-april.htm,43
335,SEKULIC Aleksander,Male,SLO,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1436878-sekulic-aleksander.htm,46
336,SEO Chun Oh,Male,KOR,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1342995-seo-chun-oh.htm,56
337,SERMANNI Tom,Male,NZL,Football,Head Coach,../../../en/results/football/athlete-profile-n1476106-sermanni-tom.htm,69
338,SHAHINTAB Mehran,Male,IRI,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1281792-shahintab-mehran.htm,58
339,SHAHNAZI Shahbaz,Male,AUT,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1331227-shahnazi-shahbaz.htm,36
340,SHAW Graham,Male,NZL,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1473560-shaw-graham.htm,45
341,SHAWKY Gharib,Male,EGY,Football,Head Coach,../../../en/results/football/athlete-profile-n1378816-shawky-gharib.htm,65
342,SHIMIZU Masaji,Male,JPN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1313744-shimizu-masaji.htm,59
343,SIAM Zaghloul,Male,EGY,Football,Head Coach,../../../en/results/football/athlete-profile-n1898563-siam-zaghloul.htm,56
344,SIGURDSSON Dagur,Male,JPN,Handball,Coach,../../../en/results/handball/athlete-profile-n1315297-sigurdsson-dagur.htm,51
345,SILVA Jose,Male,MEX,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1849265-silva-jose.htm,50
346,SIMIYU Innocent,Male,KEN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1422514-simiyu-innocent.htm,41
347,SINGH Shivendra,Male,IND,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1309727-singh-shivendra.htm,40
348,SMITH Darren,Male,NZL,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1473561-smith-darren.htm,50
349,SMITH Mark,Male,CAN,Baseball/Softball,Head Coach,../../../en/results/baseball-softball/athlete-profile-n1426206-smith-mark.htm,64
350,SOLBERG Glenn,Male,SWE,Handball,Coach,../../../en/results/handball/athlete-profile-n1408648-solberg-glenn.htm,52
351,SOYEZ Frederic,Male,ESP,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1355309-soyez-frederic.htm,46
352,SPERAW John,Male,USA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1298684-speraw-john.htm,52
353,SPERONI Stefania,Female,GBR,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1425979-speroni-stefania.htm,44
354,STALEY Dawn Michelle,Female,USA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1312711-staley-dawn-michelle.htm,54
355,STANIFORTH Dave,Male,AUS,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1483172-staniforth-dave.htm,48
356,STAS Jacques,Male,BEL,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1866616-stas-jacques.htm,55
357,SUNDHAGE Pia Mariane,Female,BRA,Football,Head Coach,../../../en/results/football/athlete-profile-n1351704-sundhage-pia-mariane.htm,64
358,SVETLICHNAYA Aliona,Female,BLR,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1289288-svetlichnaya-aliona.htm,42
359,SZAUDER Gabor,Male,CAN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1450730-szauder-gabor.htm,52
360,SZAUDER Gabor,Male,CAN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1450730-szauder-gabor.htm,52
361,SZAUDER Nora,Female,SVK,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1387209-szauder-nora.htm,45
362,TAGLE German,Male,CHI,Football,Head Coach,../../../en/results/football/athlete-profile-n1335542-tagle-german.htm,49
363,TAKAKURA Asako,Female,JPN,Football,Head Coach,../../../en/results/football/athlete-profile-n1329662-takakura-asako.htm,56
364,TAKITA Risako,Female,JPN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1315872-takita-risako.htm,51
365,TAKITA Risako,Female,JPN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1315872-takita-risako.htm,51
366,TARR Heather,Female,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1310161-tarr-heather.htm,49
367,TATEYAMA Yoshinori,Male,JPN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1313745-tateyama-yoshinori.htm,48
368,TERZIC Zoran,Male,SRB,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1344682-terzic-zoran.htm,57
369,THOMAIDIS Lisa,Female,CAN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1432978-thomaidis-lisa.htm,52
370,TILLIE Laurent,Male,FRA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1340543-tillie-laurent.htm,60
371,TUCAK Ivica,Male,CRO,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1398832-tucak-ivica.htm,54
372,TURNER Glenn,Male,NZL,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1473563-turner-glenn.htm,40
373,UDOKA Ime,Male,USA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1312717-udoka-ime.htm,46
374,UDOVICIC Dejan,Male,USA,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1320587-udovicic-dejan.htm,53
375,UTKIN Volodymyr,Male,UKR,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1449845-utkin-volodymyr.htm,54
376,UTSUGI Reika,Female,JPN,Baseball/Softball,Head Coach,../../../en/results/baseball-softball/athlete-profile-n1313733-utsugi-reika.htm,61
377,van GINKEL Robin,Male,RSA,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1318772-van-ginkel-robin.htm,42
378,van GUNDY Jeff,Male,USA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1312723-van-gundy-jeff.htm,62
379,VASQUEZ Diego,Male,VEN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1451597-vasquez-diego.htm,55
380,VILLEGAS Orlando,Male,VEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1308817-villegas-orlando.htm,65
381,VITORINO de SOUZA Marcelo,Male,KEN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1459290-vitorino-de-souza-marcelo.htm,43
382,VIVER ARZA Carlos Enrique,Male,ESP,Handball,Coach,../../../en/results/handball/athlete-profile-n1313339-viver-arza-carlos-enrique.htm,51
383,VLACHOS Theodoros,Male,GRE,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1466687-vlachos-theodoros.htm,54
384,VOLOSHYNA Anna,Female,USA,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1444384-voloshyna-anna.htm,32
385,VORONOVA Elena,Female,ROC,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1431715-voronova-elena.htm,33
386,WALL Michael,Male,USA,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1298692-wall-michael.htm,45
387,WALLACE Dave,Male,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1471344-wallace-dave.htm,77
388,WALSH Tim,Male,AUS,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1473092-walsh-tim.htm,45
389,WANG Jie,Female,CHN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1305109-wang-jie.htm,62
390,WANG Jie,Female,CHN,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1305109-wang-jie.htm,62
391,WANG Yang,Male,CHN,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1396209-wang-yang.htm,55
392,WIEGMAN Sarina,Female,NED,Football,Head Coach,../../../en/results/football/athlete-profile-n1457429-wiegman-sarina.htm,54
393,WIRTH Oscar,Male,CHI,Football,Head Coach,../../../en/results/football/athlete-profile-n1335548-wirth-oscar.htm,68
394,WOELFLIN Roberto Osvaldo,Male,ARG,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1365438-woelflin-roberto-osvaldo.htm,55
395,WOICKI Pawel,Male,POL,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1313918-woicki-pawel.htm,40
396,WRIGHT Jerold,Male,USA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1312724-wright-jerold.htm,62
397,XU Limin,Male,CHN,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1324796-xu-limin.htm,58
398,YAMAJI Noriko,Female,JPN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1313734-yamaji-noriko.htm,53
399,YOUNG Ernie,Male,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1460076-young-ernie.htm,54
400,YUAN Lingxi,Male,CHN,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1342769-yuan-lingxi.htm,41
401,ZAITSEVA Olesia,Female,UKR,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1449843-zaitseva-olesia.htm,49
402,ZAMORA PEDREIRA Javier,Male,ESP,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1400384-zamora-pedreira-javier.htm,39
403,ZAMPIERI Francesca,Female,LIE,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1288449-zampieri-francesca.htm,42
