,name,gender,country_code,discipline,function,url,Age
46,BRUN Aristide,Male,AUT,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1331226-brun-aristide.htm,50
47,BUNTING Allan,Male,NZL,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1473921-bunting-allan.htm,46
48,BUSATO Sergio,Male,ROC,Volleyball,Head Coach,../../../en/results/volleyball/athlete-profile-n1435902-busato-sergio.htm,58
49,BUSENKELL Axel,Male,GER,Football,Head Coach,../../../en/results/football/athlete-profile-n1325359-busenkell-axel.htm,52
50,BYRNE Mick,Male,CAN,Rugby Sevens,Head Coach,../../../en/results/rugby-sevens/athlete-profile-n1469761-byrne-mick.htm,65
51,CADENAS MONTANES Manuel,Male,ARG,Handball,Coach,../../../en/results/handball/athlete-profile-n1359651-cadenas-montanes-manuel.htm,69
52,CALDAS Max,Male,NED,Hockey,Head Coach,../../../en/results/hockey/athlete-profile-n1466844-caldas-max.htm,51
53,CAMPAGNA Alessandro,Male,ITA,Water Polo,Head Coach,../../../en/results/water-polo/athlete-profile-n1340757-campagna-alessandro.htm,60
54,CAMPBELL Eric,Male,USA,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1460670-campbell-eric.htm,62
55,CANO SORIANO Joselito,Male,DOM,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1470343-cano-soriano-joselito.htm,62
56,CARO Carlos,Male,MEX,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1306766-caro-carlos.htm,54
57,CASAREZ Mary Lucy,Female,JPN,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1313731-casarez-mary-lucy.htm,64
58,CASTILLO Nicolas,Male,MEX,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1466839-castillo-nicolas.htm,50
59,CASTRO Alex,Male,CHI,Football,Head Coach,../../../en/results/football/athlete-profile-n1364526-castro-alex.htm,43
60,CHAMBERS Cheryl,Female,AUS,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1328298-chambers-cheryl.htm,56
61,CHEPAK Anastasiya,Female,EGY,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1361585-chepak-anastasiya.htm,38
62,CHEPAK Anastasiya,Female,EGY,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1361585-chepak-anastasiya.htm,38
63,CHERNETSKA Natalia,Female,GRE,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1466681-chernetska-natalia.htm,50
64,CHERNETSKA Natalia,Female,GRE,Artistic Swimming,Coach,../../../en/results/artistic-swimming/athlete-profile-n1466681-chernetska-natalia.htm,50
65,CHOI Il Eon,Male,KOR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1333156-choi-il-eon.htm,62
66,CHONG Taehyon,Male,KOR,Baseball/Softball,Coach,../../../en/results/baseball-softball/athlete-profile-n1333157-chong-taehyon.htm,45
67,CHUN Jooweon,Female,KOR,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1333610-chun-jooweon.htm,51
68,CLARK STEPHEN Gregg,Male,IND,Hockey,Coach,../../../en/results/hockey/athlete-profile-n1366531-clark-stephen-gregg.htm,53
69,COLLET Vincent,Male,FRA,Basketball,Coach,../../../en/results/basketball/athlete-profile-n1337889-collet-vincent.htm,61
